City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
SARDARPUR,0,4240.84,0,3167,0,0,0
NIZAMABAD,0,4240.03,0,0,0,1040,0
BUNDU,0,4223.71,0,3378,3045,0,0
BANDA,0,4210.88,0,0,0,592,0
PARLI,0,4202.72,0,3198,0,0,0
MORADABAD,0,4202.27,0,0,0,739,0
SHIRALA,0,4164.6,0,3192,0,0,0
BHONGIR (M),0,4144.12,0,0,2822,0,0
DEOGHAR,0,4141.82,0,0,2835,1232,0
JUNAGADH,0,4141.5,0,0,0,1411,0
TRIMBAK,0,4139.06,0,3211,2751,0,0
PATHARIYA,0,4106.76,0,0,2843,0,0
PALUS,0,4094.48,0,3442,0,0,0
JAWHAR,0,4074.67,0,0,2758,0,0
GUNTUR,0,4070.26,0,0,0,1201,0
MAHBUBNAGAR,0,4068.94,0,0,0,892,0
BAHADURGARH,0,4048.49,0,0,0,664,0
MALEGAON,0,4029.52,0,0,2614,911,0
HISAR,0,4020.07,0,0,0,805,0
KUHI,0,4013.27,0,3373,0,0,0
NAVSARI,0,3994.06,0,0,2615,1568,0
SURYAPET,0,3968.06,0,0,2922,1532,0
ACHALPUR,0,3951.22,0,2936,2903,761,0
SHRIRAMPUR,0,3946.66,0,0,2739,0,0
AMRELI,0,3940.11,0,0,0,1189,0
BALESHWAR,0,3939.15,0,0,0,1020,0
KANKAVLI,0,3924.7,0,0,2853,0,0
NALGONDA,0,3815.14,0,0,0,990,0
MIRYALAGUDA,0,3782.76,0,0,0,1036,0
AUSA,0,3782.42,0,3224,2957,0,0
ROORKEE (NN),0,3765.98,0,0,0,951,0
DAUND,0,3763.62,0,3208,0,0,0
GANGAKHED,0,3750.9,0,3229,0,0,0
RAMAGUNDAM,0,3718.92,0,0,0,1017,0
KARMALA,0,3691.83,0,0,2743,0,0
AJMER,0,3677.62,0,0,0,928,0
MALWAN,0,3673.51,0,3314,2755,0,0
BHOKARDAN,0,3564.05,0,0,2799,0,0
DAVANAGERE,0,3561.11,0,0,0,812,0
BHANDARA,0,3533.08,0,0,2748,0,0
OSMANABAD,0,3532.82,0,0,2669,949,0
MANGALORE,0,3526.54,0,0,2848,1350,0
GONDAL,0,3522.14,0,0,0,1097,0
AKOLE,0,3521.97,0,3144,0,0,0
CHAIBASA,0,3516.41,0,0,2940,0,0
SULTANPUR,0,3484.92,0,0,0,768,0
JALANDHAR,0,3413.33,0,0,0,921,0
KHAMMAM,0,3396.09,0,0,0,914,0
PANDHARKAODA,0,3327.56,0,0,2799,0,0
DAPOLI CAMP,0,3247.49,0,3122,0,0,0
SAMBALPUR TOWN (M),0,3212.96,0,0,0,739,0
PALANPUR,0,3205.96,0,0,0,1254,0
MADANAPALLE,0,3199.89,0,0,0,831,0
BELGAUM (M CORP. + OG),0,3192.48,0,0,0,892,0
TULJAPUR,0,3180.99,0,0,2810,0,0
KAITHAL,0,3130.38,0,0,0,828,0
GAYA,0,3096.65,0,0,0,642,0
CHAS,0,3081.04,0,3096,3173,1470,0
BHARUCH,0,3067.86,0,0,2762,1352,0
KOREGAON,0,3059.15,0,3445,0,0,0
MORBI,0,3057.75,0,0,0,1253,0
PATHANKOT,0,3011.59,0,0,0,1021,0
ADILABAD,0,3001.41,0,0,0,1006,0
JAMMU,0,2983.22,0,0,0,891,0
NADIAD,0,2972.58,0,0,0,1323,0
CUTTACK,0,2966.59,0,0,0,977,925
SIMDEGA,0,2951.25,0,0,2779,0,0
KAVALI,0,2905.82,0,0,0,1087,0
PETLAD,0,2902.95,0,3198,0,0,0
UDUPI,0,2882.92,0,0,0,1123,0
VERAVAL,0,2881.86,0,0,0,1236,0
VALSAD,0,2857.77,0,0,0,1131,0
JETPUR NAVAGADH,0,2849.7,0,0,0,1476,0
PALWAL,0,2819.96,0,0,0,553,0
SALEM,0,2794.37,0,0,0,1166,0
CHIRKUNDA,0,2791.11,0,0,2773,0,0
PANAJI,0,2785.8,0,0,0,1271,1385
ADONI,0,2763.13,0,0,0,934,0
SRIKALAHASTI,0,2752,0,0,0,961,0
SRIKAKULAM,0,2740.57,0,0,0,1198,0
KHANAPUR,0,2740.07,0,3511,0,0,0
DAMAN,0,2724.24,0,0,0,676,0
GUMLA,0,2674.92,0,0,2917,0,0
NANDYAL,0,2637.29,0,0,0,1308,0
CHAPRA,0,2631.66,0,0,0,483,0
BHIWANI,0,2631.14,0,0,0,698,0
BARIPADA,0,2618.58,0,0,0,880,0
MUZAFFARPUR,0,2579.83,0,0,0,782,0
NARASARAOPET,0,2577.46,0,0,0,1471,0
HASSAN,0,2575.34,0,0,0,926,0
BEGUSARAI,0,2564.26,0,0,0,530,0
BIHARSHARIF,0,2527.6,0,0,0,1117,0
DIU,0,2527.32,0,0,0,707,0
DWARKA,0,2514.09,0,0,0,1341,0
VIZIANAGARAM,0,2505.8,0,0,0,1185,0
GUNTAKAL,0,2493.79,0,0,0,1255,0
BHADRAVATI,0,2490.22,0,0,0,952,0
BHARATPUR,0,2485.67,0,0,0,619,0
NAGAPATTINAM,0,2483.16,0,0,0,1030,0
TIRUCHIRAPPALLI,0,2473.78,0,3414,3352,1716,1715
BUXAR,0,2467.1,0,0,0,727,0
GIRIDIH,0,2464.7,0,0,2813,1306,0
BHIMAVARAM,0,2458.76,0,0,0,1279,0
JAMJODHPUR,0,2433.38,0,3171,0,0,0
TIRUVANNAMALAI,0,2409.24,0,0,0,911,0
BHADRAK (M),0,2392.7,0,0,0,678,0
RUDRAPUR,0,2304.73,0,0,0,731,0
DARBHANGA,0,2302.94,0,0,0,654,0
SILCHAR,0,2264.35,0,0,0,833,0
NAINITAL,0,2258.44,0,0,0,725,0
BHUJ,0,2251.51,0,0,0,1245,0
BIKANER,0,2236.86,0,0,0,745,0
KUMBAKONAM,0,2212.77,0,0,0,1486,0
TAMBARAM,0,2202.35,0,0,0,1351,0
RAMESWARAM,0,2196.46,0,0,0,865,0
PURNIA,0,2180.63,0,0,0,706,0
VELLORE,0,2174.07,0,0,0,1219,0
DEESA,0,2169.3,0,3052,0,1194,0
ADITYAPUR,0,2137.12,0,0,2772,1121,0
CUDDALORE,0,2077.24,0,0,0,892,0
SAHARSA,0,2071.92,0,0,0,554,0
KOCHI,0,2071.51,0,0,0,856,990
PRODDATUR,0,2062.71,0,0,0,1169,0
CHILAKALURIPET,0,2050,0,0,0,1220,0
AVADI,0,2045.97,0,0,0,1069,0
KASHIPUR,0,2018.33,0,0,0,883,0
THIRUVANANTHAPURAM,0,2001,0,0,0,617,1167
LAKHANPUR,0,1997.22,0,0,2934,0,0
